filename,class,label,x,y,angle,w,h
071.png,3,1,426.95,238.14,0.91,49.66,23.77
072.png,3,1,73.27,288.35,0.26,38.27,10.26
073.png,3,1,256.95,80.07,-1.97,29.96,16.39
074.png,3,1,152.86,192.1,-0.03,37.66,16.77
075.png,3,1,465.33,190.01,0.11,47.16,35.04
076.png,3,1,315.13,340.41,-0.93,35.7,13.85
077.png,3,1,371.58,276.64,-0.05,60.51,39.81
078.png,3,1,332.43,211.45,0.0,52.45,32.74
079.png,3,1,81.44,324.03,0.87,25.81,19.93
080.png,3,1,392.99,89.2,-1.54,66.78,25.88
081.png,3,1,300.61,241.66,-0.14,45.12,36.94
082.png,3,1,80.46,140.68,0.42,49.6,24.62
083.png,3,1,307.03,51.43,0.09,29.26,12.04
084.png,3,1,122.52,123.96,0.2,82.87,29.33
085.png,3,1,328.57,328.94,-0.04,28.41,13.23
086.png,3,1,134.69,40.22,-0.12,60.77,19.69
087.png,3,1,147.23,206.1,-0.38,40.82,18.91
088.png,3,1,220.25,114.5,-2.09,65.57,34.11
089.png,3,1,110.21,69.91,0.52,47.91,26.17
090.png,3,1,357.01,83.35,0.51,77.36,27.56
091.png,3,1,233.98,461.47,0.65,36.72,22.34
092.png,3,1,102.51,190.03,-0.12,70.54,16.47
093.png,3,1,61.03,357.97,1.3,54.69,35.73
094.png,3,1,364.41,383.81,-1.01,22.86,17.82
095.png,3,1,377.86,135.42,0.5,76.62,26.31
096.png,3,1,262.29,57.32,1.64,47.58,21.23
097.png,3,1,379.54,269.91,0.01,42.84,16.84
098.png,3,1,134.24,249.53,-0.5,47.73,23.05
099.png,3,1,395.67,54.49,1.09,60.11,45.79
100.png,3,1,255.28,359.1,-0.38,27.54,17.02
101.png,3,1,190.38,321.54,0.76,55.82,19.22
102.png,3,1,420.09,351.7,1.0,31.57,24.7
103.png,3,1,186.47,234.73,-0.94,31.73,19.82
104.png,3,1,147.77,330.89,0.02,40.21,14.33
105.png,3,1,112.76,75.37,0.14,66.29,26.15
106.png,3,1,121.81,463.72,-0.54,35.8,20.28
107.png,3,1,188.1,267.93,-1.03,43.11,18.26
108.png,3,1,340.25,142.26,-0.33,44.34,12.74
109.png,3,1,238.31,275.84,0.46,37.34,30.96
110.png,3,1,254.98,294.74,2.33,52.95,31.01
111.png,3,1,441.46,239.34,0.98,45.33,23.01
112.png,3,1,150.66,78.15,0.97,86.9,27.13
113.png,3,1,368.84,116.26,-0.6,48.01,19.69
114.png,3,1,442.88,53.43,-0.39,52.13,32.5
115.png,3,1,121.97,272.55,0.27,77.21,23.03
116.png,3,1,100.06,361.39,-0.64,82.01,25.8
117.png,3,1,62.36,305.73,-0.64,30.79,20.39
118.png,3,1,392.46,450.92,0.62,46.12,21.59
119.png,3,1,357.73,109.52,0.35,79.05,26.34
120.png,3,1,464.53,416.68,0.55,42.91,18.59
121.png,3,1,92.57,331.47,0.24,87.76,25.58
122.png,3,1,47.87,360.06,-0.7,36.51,21.1
123.png,3,1,474.18,92.07,-1.72,67.22,35.03
124.png,3,1,253.81,197.52,0.96,48.76,16.71
125.png,3,1,69.16,167.66,0.39,34.82,16.67
126.png,3,1,74.13,181.9,0.31,53.69,40.34
127.png,3,1,207.15,473.9,0.44,24.4,14.5
128.png,3,1,201.6,39.98,-0.09,56.88,24.1
129.png,3,1,355.18,88.3,0.07,74.98,27.58
130.png,3,1,256.6,246.17,0.5,65.45,28.01
131.png,3,1,348.82,467.13,-1.19,32.93,25.01
132.png,3,1,262.64,42.79,0.15,57.72,40.96
133.png,3,1,269.97,334.59,-1.28,42.07,22.47
134.png,3,1,130.72,46.83,0.06,70.49,22.23
135.png,3,1,59.33,454.29,0.31,49.29,33.28
136.png,3,1,164.32,249.26,1.23,54.61,19.27
137.png,3,1,73.15,185.48,0.1,75.44,24.48
138.png,3,1,76.35,398.22,0.22,29.76,18.44
139.png,3,1,111.05,276.07,0.86,53.8,33.94
140.png,3,1,337.63,145.43,-0.09,31.03,17.02
141.png,3,1,418.14,157.49,1.16,55.3,24.64
142.png,3,1,328.45,177.4,-0.02,55.88,22.91
143.png,3,1,248.95,362.04,0.9,42.7,18.11
144.png,3,1,154.87,358.79,1.88,38.87,20.26
145.png,3,1,205.33,437.19,1.15,75.75,30.79
146.png,3,1,422.96,266.78,-0.45,36.32,21.22
147.png,3,1,394.06,328.05,0.58,65.38,15.57
148.png,3,1,170.24,451.12,-0.32,32.81,16.42
149.png,3,1,442.45,203.25,-0.91,42.87,27.6
150.png,3,1,126.18,263.88,0.23,36.02,14.7
