filename,class,label,x,y,angle,w,h
049.png,1,1,35.66,38.32,0.92,42.21,41.23
050.png,1,1,66.06,42.8,-1.48,197.62,193.22
051.png,1,1,53.99,53.8,1.49,211.96,79.34
052.png,1,1,49.72,46.9,0.71,69.59,311.79
053.png,1,1,60.93,52.69,0.47,262.2,143.38
054.png,1,1,49.81,35.95,1.74,110.74,193.59
055.png,1,1,71.53,35.76,-0.71,142.3,105.11
056.png,1,1,84.93,65.42,0.46,200.63,53.03
057.png,1,1,66.87,74.53,2.29,98.29,202.38
058.png,1,1,67.81,44.8,-0.29,150.35,90.32
059.png,1,1,83.0,47.14,-1.48,152.35,289.37
060.png,1,1,46.33,32.9,-1.05,54.53,277.74
061.png,1,1,43.61,29.36,0.27,114.22,233.91
062.png,1,1,65.58,48.3,1.54,95.91,123.53
063.png,1,1,47.02,39.36,-1.15,194.13,162.1
064.png,1,1,79.35,75.99,-0.0,241.85,330.79
065.png,1,1,82.78,43.86,0.93,112.73,100.4
066.png,1,1,70.67,28.55,-0.05,231.27,186.28
067.png,1,1,57.8,42.27,1.15,255.89,241.39
068.png,1,1,57.64,23.11,-1.1,118.25,334.36
069.png,1,1,45.88,30.05,0.38,121.45,272.18
070.png,1,1,72.58,57.98,-1.68,113.29,90.93
071.png,1,1,67.59,52.19,1.02,74.56,108.44
072.png,1,1,72.81,49.53,0.32,79.59,235.77
073.png,1,1,41.43,45.03,1.99,114.52,323.27
074.png,1,1,80.1,49.92,-1.06,54.61,367.96
075.png,1,1,82.26,32.22,-1.26,128.81,224.03
076.png,1,1,71.59,36.41,-1.26,210.81,223.63
077.png,1,1,81.56,89.48,-0.42,238.49,242.6
078.png,1,1,77.76,47.55,-0.25,158.93,330.19
079.png,1,1,44.44,40.48,0.29,175.07,285.72
080.png,1,1,58.38,43.92,-0.23,87.64,327.15
081.png,1,1,63.44,41.56,-0.58,111.84,329.53
082.png,1,1,76.58,43.42,1.14,224.1,274.63
083.png,1,1,41.53,43.03,-0.87,91.65,78.56
084.png,1,1,41.82,49.81,0.47,35.75,38.82
085.png,1,1,60.65,65.91,-0.33,253.46,238.49
086.png,1,1,61.49,61.07,-1.4,359.29,181.25
087.png,1,1,42.53,32.15,-0.63,78.15,155.92
088.png,1,1,53.81,56.05,0.19,100.92,142.75
089.png,1,1,44.46,51.88,1.02,87.86,234.32
090.png,1,1,59.7,49.33,-0.69,59.3,46.74
091.png,1,1,47.62,50.52,0.39,184.63,224.36
092.png,1,1,90.95,63.99,-1.53,125.72,140.58
093.png,1,1,40.54,50.17,-0.33,325.1,75.53
094.png,1,1,56.6,27.76,0.26,144.44,262.64
095.png,1,1,93.55,55.66,-1.19,228.63,170.99
096.png,1,1,55.6,40.5,-1.61,73.4,337.96
097.png,1,1,77.71,72.78,0.56,107.36,63.41
098.png,1,1,33.15,37.37,-0.54,38.62,342.91
099.png,1,1,54.14,52.01,-0.33,75.27,287.11
100.png,1,1,59.68,58.69,0.72,54.4,91.68
101.png,1,1,82.16,59.09,-0.1,121.66,53.36
102.png,1,1,61.73,53.45,-0.46,233.58,341.75
103.png,1,1,59.93,48.39,0.2,100.97,31.93
104.png,1,1,44.44,35.7,1.76,147.34,304.92
105.png,1,1,38.54,36.24,-0.6,66.14,306.23
106.png,1,1,65.88,29.16,-0.4,356.52,75.27
107.png,1,1,41.33,46.97,1.38,99.96,226.13
108.png,1,1,70.42,32.24,0.19,110.43,200.77
109.png,1,1,48.11,37.05,0.56,57.01,169.67
110.png,1,1,94.93,66.52,-1.32,147.58,214.32
111.png,1,1,36.9,35.27,0.67,149.71,223.29
112.png,1,1,47.01,44.03,0.78,71.57,324.27
113.png,1,1,47.39,33.8,1.04,197.68,98.59
114.png,1,1,60.6,44.05,0.15,265.56,204.0
115.png,1,1,70.44,70.09,-1.17,226.15,144.86
116.png,1,1,36.99,35.72,-0.39,54.83,129.66
117.png,1,1,77.22,49.62,-0.34,201.95,349.81
118.png,1,1,76.09,45.04,1.66,112.7,192.48
119.png,1,1,85.35,79.52,0.83,114.72,344.9
120.png,1,1,59.79,50.52,1.29,101.14,180.78
121.png,1,1,81.19,52.35,-1.67,64.58,126.65
122.png,1,1,43.84,49.09,1.45,73.7,187.62
123.png,1,1,84.68,71.72,-0.1,147.96,206.28
124.png,1,1,93.88,48.22,-0.22,86.63,188.66
125.png,1,1,62.99,51.72,-0.82,90.55,226.92
126.png,1,1,53.51,47.1,1.07,201.42,253.58
127.png,1,1,52.01,35.24,-0.53,102.62,256.35
128.png,1,1,66.16,86.11,-0.64,140.14,308.16
129.png,1,1,64.37,72.8,1.77,165.54,278.91
130.png,1,1,69.48,55.75,-1.27,158.47,96.01
131.png,1,1,37.94,34.56,0.68,152.75,293.48
132.png,1,1,51.82,52.74,0.17,79.78,273.4
133.png,1,1,35.22,39.12,0.45,55.86,103.44
134.png,1,1,46.42,40.21,0.59,197.52,106.26
135.png,1,1,58.64,28.1,1.12,72.6,192.04
136.png,1,1,55.05,42.32,-0.45,72.36,87.86
137.png,1,1,58.15,58.5,2.01,303.58,273.43
138.png,1,1,40.19,45.37,1.58,242.34,130.58
139.png,1,1,35.33,44.72,0.18,247.85,321.07
140.png,1,1,59.25,36.94,0.9,180.93,126.19
141.png,1,1,94.03,48.8,-1.41,298.44,200.25
142.png,1,1,46.07,48.65,1.16,277.21,138.64
143.png,1,1,45.26,35.18,1.37,66.82,56.96
144.png,1,1,65.1,55.27,0.46,81.85,76.53
145.png,1,1,91.57,66.0,-0.15,105.13,255.91
146.png,1,1,45.35,44.98,-0.51,60.03,108.93
147.png,1,1,72.86,76.36,1.53,220.54,118.22
148.png,1,1,44.01,28.19,0.79,52.86,272.3
149.png,1,1,40.69,35.31,-1.99,173.0,210.24
